,Channel_id,Channel_title,Created_date,Video_count,Views_count,Subscription_count,Subscription_count_hidden
0,UCdzU3DSGzyWzN2118yd9X9g,Abdullah AYDIN,2007-08-24T13:54:40Z,39,141680,298,False
1,UC0UnhAG47DRyVZGVcbhAXhQ,Saul TP Channel,2007-02-08T20:41:20Z,105,209264,659,False
2,UCXjtAvK5P3wXBGh0vbGylzg,TheTVtaoista,2009-07-09T22:03:36Z,168,82921,0,True
3,UCeKHMeUlcLNPLCLUfZUQI2w,Tiffany Hendra,2008-05-08T04:06:11Z,269,2420936,23100,False
4,UCNWPDyaWf2eAHnofFLSnEMg,All Gamers,2014-03-14T02:03:00Z,2777,1674534,230,False
5,UCdo4nsIhLYABKSnU9IMBvcw,RhinoCo Technology,2007-02-21T00:01:28Z,109,339671,1500,False
6,UCZNDDbxNipTnfrSH4NpuoOw,TimothyMBoudreaux,2008-04-25T00:48:42Z,22,260245,156,False
7,UCgg5HS1oVuMSoGRPuHo-b_A,Hawlo,2008-10-12T18:37:08Z,2585,28560739,163000,False
8,UCCNZDSGjG6xEoz2lv4FThMQ,Travis Conover,2010-12-13T17:24:41Z,31,106557,37300,False
9,UCW0Dk2N7209dicPGgYNcnGg,Hưng Đặng Channel,2012-02-09T10:44:36Z,1,8,86,False
10,UCq-di9ylxEtA-MAcrvwFrEw,dezeroadezfilmes,2008-04-11T23:25:06Z,637,24307460,11000,False
11,UCDUi7yW7tJ7QWJZgK8sRLLQ,AvielNova,2007-12-23T16:33:13Z,605,8260976,5550,False
12,UCKMDuwPLGjt-nGHgNPOk5PQ,iMAVERIQ,2012-05-11T03:45:49Z,5807,182539461,508000,False
13,UC3pvtaMQ2b74u2dwUjhYMoA,braian7480,2011-10-20T12:48:54Z,1,4407,0,False
14,UCaBmj7srjEN8hpcq2lcYQJA,iworkforbudlight,2008-04-13T07:37:07Z,366,13358170,16600,False
15,UCpjYH_3HgCYCBEj5kOZ250A,Mon Cruz Pinto,2013-06-11T15:56:17Z,392,767353,7850,False
16,UCBFF3y6p-LqzD9bQSDgipgA,MadzGFX,2012-08-12T20:14:27Z,8,38139,441,False
17,UCVjfxCDKw_1bfH9GzhfmuMQ,Chloe Temtchine,2007-09-20T19:41:33Z,178,5460739,51800,False
18,UCIqxsYQqmf-1rP7w18cDAkg,isus metodev,2012-09-23T12:59:36Z,8,36309,26,False
19,UCqDbufe6xLQvj0ylR1B9FTA,Muzzi,2006-09-09T07:29:21Z,5,770562,747,False
20,UC7gA_qnevZEg033B3fFfrKg,Im Fokus Online,2013-04-28T23:20:36Z,237,1633230,2930,False
21,UCpJ-kuYqO3-FmecU4hViajw,Matthew Lim,2006-09-16T17:26:58Z,4,27772,52,False
22,UC9fwbix0hNiFQ-nhU209UXw,pokeeffe,2006-10-25T16:05:06Z,12,45654,4,False
23,UCQowROOeb9i2uh3TBCKjsEg,Aptrip,2010-10-04T19:46:35Z,64,2502060,1920,False
24,UC5rEKljNZfKS14WhkZ9o_oA,frostbool [АРХИВ],2011-08-05T07:32:32Z,876,26119155,335000,False
25,UCMxVXcnKrXzE9MH61GwjFzg,dorfman01414,2007-12-11T19:33:05Z,7,379886,27,False
26,UC_6j2h3N5jNjx-IVWhIeXhQ,01RosiePie,2011-11-24T21:33:18Z,99,3560007,13400,False
27,UCjZ6Ay7M4-4k8rTiKpRJJUg,s07p028,2009-05-02T02:35:11Z,23,59682,78,False
28,UCSfdh8cOnTt4qoyilCKVrgQ,MIRAENTERTAINMENT ESPAÑA Xikitim,2008-01-20T11:22:25Z,80,632695,704,False
29,UCfeHOn4Xgf6ZxQQBZ_Jzw_w,sanosakadoga,2009-01-13T09:13:56Z,118,1508881,2080,False
30,UCp9CMBa8SvcnldY6CUl7tww,Comune di Cagliari,2011-01-27T08:59:48Z,1293,602824,1850,False
31,UCz48GslYrQBCAzmSDvXTJXQ,Daniele Canedo,2010-06-10T15:20:51Z,86,261883,568,False
32,UCtfJaQB08iPTc5GcTwaMqtw,haris younus,2012-04-17T10:43:53Z,1,48879,131,False
33,UCcb0muJBVxIUeOsyDr0u7Ig,Thunder Chile,2006-06-19T03:30:00Z,52,31735,52,False
34,UCdt_4stK3iBBbzPtZfqMufw,А1 Беларусь,2011-07-25T17:56:26Z,1156,6361332,7540,False
35,UCWPmknLYJuVSKV4Bqv04a1A,Stephanie Leddy,2013-08-12T20:55:02Z,10,9844,4,False
36,UCxKqLvgx_iMIbpyaBfr7rIQ,STTR,2012-12-28T17:12:48Z,7,101126,0,True
37,UCZ0mqihIUZbQV6D06TGaNiQ,pmilligan,2006-03-16T20:04:38Z,9,57354,7,False
38,UC5JS3820CHv1cwcyEN70lgQ,PicupMage,2006-12-30T22:51:39Z,208,2467246,1820,False
39,UCT6LaAC9VckZYJUzutUW3PQ,Game Sack,2011-03-27T22:30:07Z,380,71529601,259000,False
40,UCQQKMcjzoGsTQGVHwwR_HZA,maratungai,2011-02-28T05:34:51Z,21,68164,75,False
41,UCbL8uzrp-nGAIhfuNcl7WzA,Blaine,2008-08-07T06:32:29Z,16,454400,2190,False
42,UCvkuzmjHdWmMdJLGFFSt5mg,AntinomyRF,2011-07-18T23:12:04Z,186,604467,1800,False
43,UCWgK_4f2rYzU9jUru8-RxTA,nguyen son tung nguyen,2012-02-22T10:20:17Z,457,2226399,6960,False
44,UC_1ZXxjRTcY5wX1MQ81rEdQ,chalinosa,2008-03-22T18:52:53Z,1090,66895966,191000,False
45,UCNWE19wwZt6R6LoVk4gtlRQ,AnthonyA5555,2011-02-12T17:38:43Z,286,4712312,1170,False
46,UCgX2EaVuwi0jstpTXrWQGyQ,AndrewAJT,2007-07-07T05:18:52Z,445,8191497,29900,False
47,UCCabTk9Qskbbi2nAgSy0MNw,INTANGIBLE SEARCH,2011-03-28T15:06:46Z,261,1022525,1880,False
48,UCRhrB3agtA3afGvCx9DN6GA,Tun Tran,2008-06-01T09:13:05Z,242,1840345,3490,False
49,UCuE1Ed6JqKgCZrF1PKRD9yw,nicole dineen,2007-01-19T20:22:16Z,10,5388,6,False
50,UC5ljOmJyDE1JrGMkruvWCrg,HildeChristina,2007-12-22T21:17:00Z,279,4189589,18900,False
51,UCoDkamsmzvrvxmZT9JdpONQ,agrofacchinetti,2009-03-31T19:04:52Z,11,248236,360,False
52,UCgquFDyfTt6SWG1xXUKGiqA,Namine Ritsu,2009-07-24T21:56:37Z,42,265866,158,False
53,UC31zdvJk5Sr2w5n4hklJX1w,Thai Song Lyrics,2012-09-17T01:27:07Z,2,271,9000,False
54,UCJWrsIZjGI3aOgtoqD09x3g,praiseload,2013-05-09T07:01:58Z,12,2564673,4960,False
55,UCny_hcFKMhkFjVcJZwWRrFg,aviationforeveryone,2011-10-05T18:44:10Z,15,161127,1250,False
56,UC56-92630x0A7w_HrjK8AsQ,Studio7as7,2011-05-05T04:31:16Z,1236,841677,2790,False
57,UCgRz5nuL14LD246x7HllIqw,JiteshLakhwani,2010-12-28T09:53:35Z,13,11593768,28900,False
58,UCeBNABt4ejGeuaLz8QJK6Yg,TheIcehamster,2009-07-04T15:17:24Z,12,81996,59,False
59,UCC5qXYhDHV1TY43_DWVvv1w,Deluxe2O,2012-05-27T16:04:33Z,1233,34730471,624000,False
60,UC02sVouxIghy3nLOm_RzvDw,Renata Barros,2006-03-19T02:47:20Z,27,7914,19,False
61,UCOXTmmhdne0ehxsOAV_lEZw,Hardwareluxx,2009-03-30T15:53:55Z,1336,7158469,11600,False
62,UC9E14Vftpl9xZY6cbTEs2LA,votografer,2008-02-19T04:15:20Z,43,28557,49,False
63,UCoMYvfLxUfajoBTLm-nvlAw,ArcadiaNailArt,2012-02-13T11:07:31Z,78,7483266,100000,False
64,UCgSDoVw1IaChd8mVsT6st7A,Stealthless,2011-06-07T21:06:20Z,484,33222187,29700,False
65,UCnjnz6SAho-BFuOCk3lB_xA,ghog63,2011-07-05T16:03:16Z,99,4378289,17700,False
66,UCWIw8jZ8WuGzJkfNBhzoPFQ,Bingeable TV,2008-04-16T21:19:50Z,2,843,71400,False
67,UC0qq90ZhYD2AA61Fp4RKBrw,martin raul Dominguez,2011-10-07T12:27:44Z,53,17912,31,False
68,UCLJE1cvF9a___wz3h-U2EYA,JackMcJack12,2008-01-11T14:19:07Z,18,674632,111,False
69,UCBNP3TVxHxtJJTWQfyC1ctw,Juan Trillos,2015-01-07T22:18:45Z,0,0,1340,False
70,UC8G8kqkWlL6qIMDZG8DMPcw,VICTORHUGOAE,2007-07-30T23:32:28Z,5195,8985413,55300,False
71,UCXHZkk84LkX7pdsagGCA-eQ,cantonrep,2006-07-31T15:31:31Z,3001,7965932,5120,False
72,UCRdDXp3LihrgoXg_wPO0Thw,unblackcellofreak777,2009-11-23T04:12:19Z,2,3835,12,False
73,UCdSrV3OGGXu6ZsE-mF9l7aA,Alfredo Esquivel,2006-11-23T20:03:52Z,464,705410,1130,False
74,UC0Wg1TUmlxj6ihalJPxHyqg,Angelatedo,2011-06-23T09:09:53Z,1249,139408617,278000,False
75,UCy5Q86oJOrho-eZbc22DJSA,ELParqueCR,2007-07-16T04:48:12Z,44,665648,2860,False
76,UCy4DstXG8Sxx-gqVOtY_pMg,Yoshiboy2,2006-06-10T19:13:47Z,17,1304993,3990,False
77,UCy1F61QvUUQXAXi2Voa_fUw,NTT INDYCAR SERIES,2006-07-05T14:57:58Z,4166,88616644,285000,False
78,UC58k_P0vo3pibDwW-Zna68Q,Daniela Pulido,2008-07-17T04:41:45Z,5,202,2,False
79,UCq5STAGBJGgTfSVk30T5yWQ,christinamariaa1,2011-06-05T02:14:56Z,55,144793,759,False
80,UCU8NCah8lbB_e6mY8CqhDRA,Vida Extrema,2006-04-26T14:11:28Z,499,11649468,22300,False
81,UC-gUD1u77R_fCYU5VJoe7zg,The Real Geeza,2006-09-25T20:25:15Z,1461,5285692,4300,False
82,UCR4DZnk4TP-WYtf8wB55h5g,deuterbackpack,2013-09-23T00:06:19Z,21,405558,232,False
83,UCqBNcBqhybw0vfqtpDgJ-Pw,SaveStef,2007-10-12T15:11:16Z,127,851790,338,False
84,UC0Ec7aNF-i67aWHH6-BKQwg,Joãoaoaoao,2008-04-08T15:33:18Z,85,165917,589,False
85,UCTn9b_cuSTtsDVNOo4EWKzg,loopy,2013-04-04T13:23:40Z,202,757640,1030,False
86,UCbiPCnUx3WWb2h4H1R4uLBQ,dieselyota,2006-11-25T03:32:14Z,49,191312,131,False
87,UCn9atqScyXLGnjNQ_DEXQ5w,byArteer,2011-12-15T11:24:17Z,2963,87111531,487000,False
88,UCwyZMvRDBleBvllMYN2EoGQ,Mayo MA,2014-09-26T01:40:33Z,110,11923154,34600,False
89,UCr4caF0n0P5kExMR8uWERJQ,NK-TV.NET,2013-04-17T13:59:28Z,1047,7262171,6100,False
90,UCCVLeCM2GmwjDg2elXqojcg,Stonehopper1986,2012-03-26T20:51:34Z,429,1617171,1450,False
